returnRequestLineItemVasId, string_,,Max Length 35
returnRequestLineItemId, string_, Required,Max Length 35
vasCode, string_, Required
metaQuantity, integer_, Conditional, Only Required for `vasCode`: ``split-parcel`` ``req-pic``
vasResult, string_
notes, string_
isFinished, bool_
